text,label
= Accueil physique & télephonique,Skills
"-organiser les entretiens annuels, définir les objectifs de chaque collaborateur et des besoins en",Experience
68 05/2021 - 07/2021 oe .,Experience
t B EMPLOYE DE ¢ Gestion des leads,Experience
Manager de production (6 ateliers). Responsable des achats. Gestion d’un réseau de sous-traitants,Experience
mécanicien en grosse mécanique entretient et réparation.,Experience
Relation client,Skills
Prezi (Logiciel de présentation),Skills
e Sens de l'organisation et gestion du personnel,Skills
Téléconseillére,Experience
sortis,Experience
- Effectuer les mises hors et en service de tous types de matériel de,Experience
Chauffeur SPL — Tournées régionales & nationales,Experience
- Communication et conception de différents,Experience
Modélisation des données,Skills
Cours du soir en cours des deux langues,Education
courants,Skills
CDI étudiant 12h/semaine depuis mai 2021,Experience
Bordeaux,Experience
"(Photoshop, After Effects)",Skills
financiéres.,Experience
Frangais : Trés bon,Skills
"m 2015 - 2019 : Modératrice littéraire Indépendante, Lyon",Experience
-Régles de salubrité et d'hygiéne publique,Skills
ADJOINTE DE MAGASIN/ ANIMATRICE D'EQUIPE,Experience
Mission :,Experience
Member of ISAE,Education
"i Mécanique des fluides, mécanique du solide, conception environnementale",Education
e Management 9 personnes,Experience
Evénementiel.,Education
- Création et déploiement des éléments de comm autour des prestations et,Experience
2019-2021,Education
De 2016 4 2019 Licence Finance d'Entreprise,Education
2020-2022,Experience
e Intégration et formation des nouvelles recrues,Experience
1990 Société de Diffusion de Données boursiéres — Paris — 75,Experience
technicien d'essai spécialité injection plastique,Experience
BEP ASAI (informatique),Education
e Gestion Centre de Profits Livraison a Domicile Epicerie et Surgelés pour un Chiffre d'affaire,Experience
¢ Autres : Suivi Pharmacopée Européenne &,Skills
¢ Dessins en perspective,Skills
ANGLAIS : courant,Skills
Excel ed,Skills
2016 - 2018 * CESS (€quivalent BAC Général,Education
- Recrutement,Skills
présenter la carte (Avancé),Skills
rotation du gouvernail,Experience
Logiciels,Skills
"- LinkedIn, Facebook, Instagram, Twitter",Skills
CHAUDRONNIER,Experience
PREPARATRICE DE COMMANDES,Experience
d'ordonnances sous contrdéle du maitre de stage.,Experience
Relations employeurs,Skills
Stage en maison de retraite,Experience
e Année e Dipléme d’Etudes En Langue Frangaise DELF B2 a,Education
15h/semaine,Experience
realiser l'ouverture et la fermeture du poin de vente Avancé,Skills
"+ Atouts: Esprit d’équipe, Organisation, Communication, Présentation.",Experience
2016/2017,Education
premiéres :,Experience
- Restructuration et Extension de |’école JJ Rousseau 4G Libourne (33). SP SC,Experience
Martinon 4 Chasse Sur Rhéne,Experience
= 6 semaines (stage),Experience
Restaurants - Ecoles - Cuisines professionnelles,Skills
= Déclaration congés payés et intempérie,Skills
2017 SOMETAL. Peret. SERRURERIE METALLERIE. Garde-corps. Menuiseries.,Experience
¢ Aisance dans la communication,Skills
"Fondation du Patrimoine, Strasbourg « Avril,",Experience
éducatrice en école élémentaire pour,Experience
"Mise en place d'événements promotionnels, « Rédaction de PLV pour le lancement",Experience
Santoche ® Opérateur de production,Experience
- 1° entreprise générale du batiment du bassin d’Arcachon,Experience
ee?),Skills
1995 : DIPLOME DE PUERICULTRICE AIDE SOIGNANTE,Education
Construction stratégie de communication,Experience
-Manutentionnaire,Experience
= 2010: Université Lumiére Lyon II,Education
Openclassrooms,Experience
"> Serveur Web et messagerie : Apache, IIS, Exchange",Skills
Accueil clients,Experience
2021 - 2022 IUT Montpellier-Séte,Education
2007 BAC PRO COMMERCE,Education
-Rigoureuse,Skills
Stage de un mois. Janvier - février 2020,Experience
Protection civile de 1996 & 2005,Skills
"Crawley, Royaume Uni Missions : Traitement des données de prospection pétroliére marine",Experience
enfants qui pleur et tt aussi en moment de repas aidé la cuisiniére enoment de la préparation de repas.,Experience
APPRENTICESHIP,Experience
v Rigueur Administrative,Skills
PROGRAMME BACHELOR IN MANAGEMENT,Education
"> MS in Business, Plekhanov Russian University of Economics, Moscow (July, 2018)",Education
"Organisation et animation de forums de recrutement, speed networking et soirées de recrutement",Skills
"Restaurant la cave gourmande, Hotellerie / Restauration, 88300 Neufchateau",Experience
Répartition des taches et contréle du travail effectuer.,Experience
Google Digital Garage | 2022,Education
e Monitoring the budget,Experience
"Institut Supérieur du Transport de la Logistique, Sousse, TUNISIE",Education
entretien annuel,Skills
"Stage en SSRI/SLD, Le Brasset",Experience
du Brevet avec mention assez-bien,Education
(ota,Skills
07/10/2019-25/10/2019,Experience
1995-1997 : Bts Force de vente (Niort ),Education
chaque sous-rayon afin d’aider le magasin a atteindre ses objectifs quantitatifs et,Experience
e Bétonnage des ouvrages réalisés,Experience
management,Skills
Accademia Villa Bossi (2011),Experience
la ligne de production,Experience
"MEDIATRICE « BONS GESTES COVID », SERVICE HYGIENE PUBLIC ET",Experience
linguistiques (Espagne - Madrid),Skills
Réaliser la plonge,Experience
e Rapprochement bancaire,Experience
* Microsoft Excel,Skills
"Gestion des risques bancaires, gestion d’un portefeuille de clients, suivi de la",Experience
Agency Receptionist (multiple experiences),Experience
"Faculté de Finance Banque Comptabilité, Université de Lille",Education
en liane et par telephone,Experience
* Coordonner les acteurs en interne et externe au processus logistique,Experience
Membre du club de Robotique « POLYBOT Grenoble » participant 4 la coupe de,Education
2017 BACCALAUREAT SCIENTIFIQUE,Education
SQL e@o@e°@,Skills
Support Production (Canada),Experience
02/2008 - 03/2008 : Vendeuse stagiaire,Experience
o Réconciliation de compte,Experience
Mise en place d’un protocole de méthodes UX afin de déter-,Experience
France,Experience
"Missions réalisées: Prospection Commerciale, Recrutement et Adminstratif",Education
2019/2020 mathématiques,Education
(erasmus) Dortmund - Germany,Education
Conception & Développement,Skills
= Annonce de vente de meuble,Experience
"Toulon, France",Experience
1999 - 2002,Experience
Suite Office,Skills
BTS Comptabilité Gestion / Avignon,Education
"Média dédié au mécénat social, environnemental et culture! ; partenaire de divers événements dont",Experience
"contractuel. Accueil des prospects, formalisation d’offres de services, facturation.",Experience
"Gestion de dossier paramédicaux, accueil, comptabilité",Experience
persévérant et organisé.,Skills
"57000, METZ",Experience
BPCE Payment Services | Septembre 2020 - Aotit 2021,Experience
presentations.,Experience
« Conception visuelle et réalisation artistique du menu,Experience
HITTE v_ Gestion des courriers/ mails,Experience
Organisation des évenements du centre commercial,Experience
Others: PSC1 (prevention and rescue,Skills
"2022 University of Kuala Lumpur, Malaisie",Education
Accueillir une clientéle,Skills
"BRISBANE, AUSTRALIE",Experience
1.Attaché logistique parcours pépiniére sur le site d’EPINAL 11/12/13 au 31/12/14,Experience
"""Savoir-faire : Evolutive, facilité d’adaptation",Skills
Bénévole de déc. 2021 a ce jour,Experience
e Représenter l'entreprise dans des événementiels liés au recrutement,Experience
- Comptabilisation des heures de travail et traitement des salaires,Skills
> |was appointed to take charge of the IT requirements of the UK’s biggest online betting platform,Experience
BTS DE DESIGN GRAPHIQUE,Experience
2020/2022 : lere année générale-2eme,Education
Repérer et signaler les,Skills
Bs,Skills
fidélisation,Experience
specialization in High School at,Education
"« Mise a jour du site web de l'entreprise : ""Teampify.com""",Experience
e¢ Préparation des RDV avec des clients et clients potentiels,Experience
MICRONUTRITIONNISTE,Experience
e Animation réseaux sociaux e Création de fiches produits,Experience
Opératrice dans une chaine de montage,Experience
e Serveuse et Plongeuse en,Experience
Assidu,Skills
Anglais @,Skills
a janvier 1986,Experience
- BP Coiffure 2010,Education
Lycée Professionnel Jean Lurcat - 69008 Lyon,Education
"©} Service Qualité 2011 2019- Contréleur calibre, Gestion parc",Experience
Anglais niveau Bl,Skills
Centre E-leclerc - Montbéliard,Experience
- Entrepreneuriat,Education
|.U.T. de Béthune,Education
>» Rédaction & suivis des DCE,Experience
la Relation Client),Education
-Stage en brasserie Bocuse,Experience
"¢ Communication, réseaux sociaux;",Skills
Gestion qualitatives des centres de profit.,Experience
"2022 | Tabac Presse, Montpellier",Experience
1. Ménage dans les mobil home,Experience
sortie d'école/ Animatrice de cantine - Mairie de Noisy le Grand - Noisy,Experience
juin 2019 - septembre 2019,Experience
Durant ma formation j'ai réalisé des projets professionnels.,Experience
Avoir le sens du relationnel,Skills
Management des Unités Commerciales,Education
Géopolitiaque et Sciences Politiques. mathématiques complémentaires,Education
"2021 | Restaurant Berlinpinpin, Montpellier",Experience
Appliquer la laque Avancé,Skills
> Excel,Skills
~ Arahe (C1),Skills
-  Etablir un budget prévisionnel,Experience
- Dressages des tables,Experience
Maitrise LEA en anglais (Niveau C2 du CECR),Education
Allemand,Skills
DIPLOME DE SECOURISME (SST) | 2010,Education
équipements pétroliers des stations services) - Stagiaire,Experience
Frangais (Native or Bilingual),Skills
"Formateur (enseignant), accompagnateur d’ insertion en milieu scolaire",Experience
"BILLETERIE, PREPARATION DES SPECTACLES",Experience
Chargé de communication,Experience
WiX fe @ Pte,Skills
BTS Support a l’Action Managériale * 2019-2020,Education
e Anglais : Niveau C1 courant,Skills
¢ Définir et concevoir le cahier des charges du projet Hl be,Experience
"Dessinateur BE, Technicien méthode _ Développements, industrialisations, gammes de produits désenfumage et aération",Experience
"Lycée Gabriel Guist’hau, Nantes : Seconde générale",Skills
ee,Skills
Ca,Education
Accueil client,Skills
"¢ Obtention premiére année, parcours Techniques",Education
Université Mohamed 5 rabat maroc,Education
Projeteur béton armé,Experience
"pompier dans les Alpes-Maritimes, Piscine dans les Hautes-",Experience
¢ Word,Skills
* Communication,Skills
Compétence en communication,Skills
* Expérience de posage et fabrication de pavée,Experience
"* Création de piéces et notice de montage, vues en coupe et éclatés, mises en plans",Experience
process de détection des potentiels formateurs.,Experience
Lycée Secondaire Eljem,Education
"Prise de commande, ouverture compte fidélité ( carte Kangourou) réclamations, gestion",Experience
"10/12 - 07/13 : Lion Automatismes (Ingenierie en Automatisme), CDI, Grenoble",Education
-Sens de I’écoute -Anticipation -Analyses et synthése -Résolution de problémes,Skills
m Avec mention,Education
département de la gironde.,Experience
Anglais e@e@e@®@,Skills
e Distributing production information to various departments,Experience
Détecter un besoin : Recherche du meilleur compromis besoin client / technicités produits.,Skills
"2004- 2008 : Licence de Francais a l’université Abou Bekr Belkaid, Tlemcen (option",Education
hotel restaurant les Mouliéres,Experience
. Gestion du projet,Experience
Pe eer Loh Lela),Skills
- Organisation de séminaires et déplacement national avec la TEAM pour vente de matériel,Experience
Informatique,Skills
2019 Adhérent,Experience
"Croix-rouge, Meaux",Experience
2013/2014 - CQPT chez Orange (Certificat de Qualification Professionnel dans les Télécommunications),Education
+ Prise de commande et encaissement,Experience
es,Skills
"Store, Kilstett France",Experience
Cabinet ANGIOLOGIE Docteur MOUGIN Montbéliard,Experience
Magasin Phildar a Haguenau,Experience
"= Evolution SIRH (transfert SIRH, implémentation Portail salariés, GTA, reduction saisies manuelles paye ...)",Experience
"Assistance dans la gestion d'un portefeuille client (mailing et démarchage téléphonique,",Experience
> Plans de surveillance,Education
¢ — S’occuper du suivi de la réalisation des prestations techniques auprés du,Experience
¥ Création des bons de livraison,Experience
"Gestion des plannings et suivi du personnel, Responsable Parfumerie",Experience
Niveau pré-intermédiaire,Skills
Réalisations :,Experience
"Photocopies et saisie de données, Classement de",Experience
> Accompagnement Commerciaux Installateurs Nationaux et,Experience
Marché d’Alger * Auto-entrepreneur ° Fruits & Légumes du Soleil (Alger -,Experience
Bon niveau en Anglais et en Espagnol,Skills
* Participation a la gestion des relations investisseurs,Experience
- Janvier 2020- Mars 2021 : Agent de sécurité,Experience
e Gestion et approvisionnement des stocks,Experience
e Et je travaillais 1 semaine de 5h a 13h et l'autre de 13h a 20h,Experience
"ENSC, Talence — Ingénierie cognitique",Education
- Formé a la vente/marketing/communication,Skills
Maitre de stage : Martine Bertrand / martine.bertrand@cnam.fr,Experience
"Wordpress, compétences modérées sur la suite Adobe (Photoshop, Lightroom, Illustrator, AfterEffects).",Skills
* Rapprochement des piéces de caisse,Experience
MUTANT/ LEADER PRICE Troyes - de 2001 a 2013,Experience
"2017-2018 : Premiére ES, option Européen : Anglais Histoire, option latin",Education
ainsi que les relances et les dossiers contentieux,Experience
Sept. 2016 investissements et rénovations de biens immobiliers,Experience
"Michel Roinné Architecte, Le Mans",Experience
¢ Prospection totale en anglais (mailing et phoning) afin de,Experience
HN ingénierie,Experience
"- Movex, Logidrive, BSOL : ERP et Workflow",Skills
"payant , gestion stock, Suisse, 3 mois Opticien polyvalent, Atelier et Vente",Experience
e Proposer de nouveau systémes de stockage ou de manutention,Experience
AIX-MARSEILLE Métropole,Experience
> — Stage Commerciale CM- MP Nov-Jan2022,Experience
"accompagnement du changement auprés de 600 collaborateurs, formation des nouveaux",Experience
"» Lecture de Plan, Orientation aisée",Skills
Juillet a Aodt 2017,Experience
- Dispose du permis de conduire,Skills
"Twitter, Tiktok)",Skills
* S’assure de la qualité des réponses données aux prospects dans le cadre des,Experience
* Inventaire,Skills
suivi de performances,Experience
juillet 2021 - octobre 2021,Experience
Evaluation des performances et vérification d’un systeme d’imagerie,Experience
Responsabilité totale du service Livraison Direct Domicile toute France / Belgique.,Experience
> CPAM de Strasbourg,Experience
lel lg,Skills
¢ Anglais - Courant,Skills
Utilisation des logiciels informatiques / Antivole du,Experience
"2002-2007, mention trés bien Université",Education
> Gestion du planning des commerciaux,Experience
": piéces défectueuses sont écartées, suit l'arrivage des piéces et",Experience
Y Création du solde de |’opération (initial et final),Experience
e redynamiser la bibliotheque,Experience
-Intérimaire Adéquat Event Lyon,Experience
LICENCE Professionnelle | METROLOGIE INDUSTRIELLE | 2014 - 2015,Education
Entreprenariat et management des activité:,Education
2017 : Stage (PFMP) de 4 semaines a l’entreprise Technilab de GUNSTETT.,Experience
CACES 1235 AFTRAL ETUPES / De janvier 2021 a mai 2021,Education
Licence 3 chimie- mention AB,Education
MANAGEMENT ET DE LA GESTION) MENTION BIEN,Education
2020,Education
: Missions d'étalonnage et de vérification des instruments de,Experience
"Electro Dépét, Prouvy/Valenciennes De mai 2018 a juin 2018",Experience
Lycée Bernard Palissy - Agen.,Education
° Optimisation et gestion de portefeuille,Skills
03/2021 Société de taxi gironde,Experience
@ Wordpress,Skills
DUT Services et Réseaux de Communication en Multimédia,Education
BTS Communication,Education
Vente de fruits et legumes responsable d équipe et gestion,Experience
"- Conception et animation de séminaires juridiques et fiscaux (loi NRE,...)",Experience
"e Developed research's statements and ran surveys and interviews as Research Assistant in ""The Accountant's Role",Experience
"Conduite de projets : faire l'état des lieux, définir le projet, établir le plan d’actions, le",Skills
2019,Experience
~ Sphinx *x*,Skills
Belleville et Porte de Clichy),Experience
"© Qualification, orientation et suivi des",Experience
* Détermination et analyse de la,Skills
"l’accueil et du service client (restauration, la presse, la “Identification et mesures des organes (3 mois)",Skills
Pointeur-chargeur,Experience
Ot elite,Skills
et son fonctionnement,Experience
@eee0,Skills
TEE Espagnol (Niveau 81),Skills
a des collégiens et lycéens,Skills
¢ PHP8,Education
Licence en Maintenance Industrielle,Education
"d’adaptation, contrdle et suivi des contrats, suivi de la facturation",Skills
Francais: langue maternelle,Skills
Espagnol B2,Skills
Master 2 SCIENCES DU LANGAGE SPECIALITE SEMIOTIQUE DE L’ IMAGE °,Education
comptabilité,Skills
e Management général d’un centre de profit et de son équipe.,Skills
« Section Européenne,Education
» Imputation de factures,Experience
McDonald's,Experience
lors de l’exploitation d'une machine de pré-,Experience
DEC 2019 - JAN 2022,Experience
Assistante de direction,Experience
Ingéniorat en Géologie,Education
Septembre 2019/Mai 2021,Education
e Used Lean Management tools in a continuous improvement process,Experience
Dresser les tables et les plats et le service,Skills
2017,Education
Février 2022 Inventoriste de RGIS.,Experience
e¢ Communication,Skills
Juin 2018 4 POITIERS,Experience
CDI de 6h/semaine,Experience
MONTPELLIER (34),Education
"Leadership, Google Certification, Budgeting",Education
CemeOle\-lamek--toaia,Skills
» FERRERO France (76),Experience
- Journalistic writing - Interview,Skills
Equipiere magasin,Experience
"Directeur centre de profit, directeur commercial grands comptes.",Experience
Premiére et Terminale série Scientifique de 2018 a 2020,Education
e Perfectioniste,Skills
Faculté Paris Descartes,Education
-Superviser le déchargement et la réception des marchandises,Experience
2012 - 2013 - Alger,Experience
"e Audit, IFRS, Management Accounting",Education
fournisseurs),Experience
e Management de 4 a 15 personnes >,Experience
J'ai été vacataire pendant quatre années pour produire des cartes GSM.,Experience
© Dessins Techniques et assistés a |’Ordinateu,Skills
"ressources humaines, droit du travail,",Skills
e Encharge de la création des supports,Experience
"AGENT DE SERVICE, CCGPF",Experience
Anglais eee,Skills
BACCALAUREAT STT COMMERCE,Education
= Géerer les compétences et former les collaborateurs (Ingénierie pédagogique),Skills
= Esprit critique et dynamique.,Skills
e Alimentation a découpage,Education
e Accueil des clients avec,Experience
Hotel restaurant « Les Bruyéres » St Médard en Jalles (33),Experience
Office ee2ee@,Skills
v_ Frangais : Bilingue,Skills
Lutte contre k's inéga lité séducativeset la creation de liens solidairesentre,Experience
Micro Entrepreneur ( Tatoueur et Illustrateur ),Experience
"Oujda, Maroc",Experience
- BEP Auxiliaire prothésiste dentaire -,Education
Bébé en vadrouille. Paris,Experience
Contrat SIVP hypermarché Mammouth a Exincourt (Doubs) :,Experience
Vérification de la mise en place des procédures qualités,Experience
2014 BAC Sciences et Technologies de |’Industrie et du Développement Durable,Education
= Rigueur,Skills
Juin 2017/Juillet 2017 : Agent de service chez ELIOR SERVICE PROPRETE ET SANTE,Experience
- Travail d'équipe,Experience
06/2011 - 06/2018 peintre industriel - nouvelle galvadoc,Experience
“* décharge et charge camionnette,Experience
O PROTEIN SCIENCE FACILITY — LYON (FRANCE),Experience
Décembre 2014 Stage en entreprise- Vendeuse - Princesse Boutique (Givors 69),Experience
De septembre 2013 Professeur de langue roumaine,Experience
"-Laboratoire des Procédés Industriels, de Synthése de l’Environnement et des",Experience
"+ Enquete sur les nouveaux besoins, établissement",Experience
"CH Dron, centre de vaccination, Tourcoing",Experience
e Capacité de travailler en équipe,Skills
"Affecté au conditionnement, palettisatio, filmage des produits.",Experience
- Mise en place d une politique commerciale,Experience
FRANCE went.,Experience
Etés 2019 / 2020 /2021,Experience
- Analyse et correction des anomalies liées aux transferts de flux au niveau N2,Experience
AMIENS,Education
¢ Gestion de la caisse,Experience
Année : 2011 Dipléme : Licence 1 Siences Humaines Sociales,Education
e¢ Plan d'action Sport Santé Entreprise au sein du territoire Rhéne-Alpes,Experience
Matieres: Lézard - Evergrain (Veau) - Evercalf -,Experience
> Gestion commerciale administrative et sédentaire,Skills
- 2006-2012 : analyste de marchés chez InVivo a Paris,Experience
d’organisation,Skills
Wordpress CMS,Skills
e@  ENTAUSIOSTIC,Skills
Programmation C et Java,Skills
-gestion du budget,Experience
v¥ Dynamisme,Skills
HRBP International | SANOFI FRANCE,Experience
Baccalauréat série techniques mathématiques (mention bien),Education
- Francais: courant,Skills
. . OO,Education
"boisson, alimentaire sucré et salé, Hygiéne féminine, gros, moyen et",Experience
e Manager une équipe d'opérateurs logistiques dans le souci permanent de la sécurité des personnes,Experience
Leader Price Hirson / 12/2018 - 01/2019,Experience
Avril 2016 au Décembre 2016,Experience
"- ANGLAIS, Bon niveau de DCG",Skills
-  Gérance d’un magasin de 670 m? avec une augmentation du chiffre d’affaire,Experience
techniques,Skills
* Soft skill : Communication,Skills
* Création de zonings et d'arborescences,Experience
e Surveillance vidéo,Skills
Etablissement BOYE (Bordeaux),Experience
KIABI- Champagne au Mont d‘Or,Experience
"Créations de supports de formation (vidéos, outils, infographies...)",Experience
"Y Contréler et mesurer le circuit de charge, circuit de démarrage et accessoires de cabines",Skills
Préparation en tuyauterie industrielle e chaudronnerie,Education
@eo,Skills
Elave Year 9,Education
Secrétaire d'agence,Experience
2013-2018 : Société Randstad,Experience
cE Teele eee tlie lid,Education
client.,Experience
- Améliorer les conditions d’achats dans le respect des objectifs de stock de la société.,Experience
". Thales Avionics Meérignac, FR",Experience
De Décembre 2020 a Avril 2021,Experience
e Maitrise du Pack Office/,Skills
MAITRISE DE L'ANGLAIS NIVEAU B2,Skills
. “assez bien,Education
Négociant en vente de produits et commandes aux professionnels,Experience
CHAUFFEUR LIVRURE COGEPART TRANSPORT DE PRECISION,Experience
e MS OFFICE,Skills
""" Conduites de chariots élévateurs",Experience
e Tirage et Raccordement d'organes électriques en 230v,Experience
parnpayd,Education
nécessaires. Motive et fait participer les collaborateurs aux projets de l’entreprise. Crée un esprit,Skills
e Bac S— mention TB 2019/2020 - lycée frangais de Casablanca,Education
S'occuper du linge et ranger le propre,Experience
"Dollar Universe, Outil de prise en main a distance VNC, PCA, RDP, Putty, Linux (configuration",Skills
- Annonces par emailing,Experience
HOtesse de caisse,Experience
- Création d’ateliers de remédiation cognitives accés sur les fonctions,Experience
2020-2025,Education
coordination des actions au sein du groupe.,Experience
sur les différents canaux e Accueil de l'agence,Experience
e  Assurer le suivi pédagogique et administratif de 300 apprenants,Experience
Maltrise GU pack OTIce,Skills
"delivery of services on time, on budget, and to the highest specified level of",Experience
"Bagatelle, Toulouse",Experience
FR Prestashop,Skills
2018-2020 - IUT de Lens,Education
"+ Prise en charge de certains salons (Salon de l'étudiant, Salon de lapprentissage..)",Experience
managers. Aide a la prise de décision. Suivi du budget recrutement.,Experience
Ecole Ri7 - 2022,Education
CEC - Certification Anglais niveau Bl,Skills
KIDILIZGROUP - Saint-Chamond (42),Experience
-  Soigner et s’occuper de I’hygiéne des animaux,Experience
- Responsibilities: Observe and assist with the management of stocks.,Experience
Du 10 septembre 2013 au 28 février 2017 Responsable commercial,Experience
AIDE A DOMICILE,Experience
Université de Strasbourg,Education
Chauffeur,Experience
WORD - EXCEL - POWERPOINT,Skills
APAUH | 02 aoat— 23 aotit 2021,Experience
"Janvy - Avril 2015: Responsable Commerciale Professionnels a la SOFIDER, filiale de",Experience
alimentaire et de froid,Skills
co Conduite et accompagnement du changement.,Skills
PE Ltt See a),Education
isolants et systemes de mise en oeuvre innovants.,Experience
Autonomie,Skills
"octobre / juillet / aotit 2021 réception de linge, mise en",Experience
"économiques et sociales, Langues, littératures et culture",Education
Lycée de la Vallée de Chevreuse / 2018,Education
PARISOFT (logiciel interne),Experience
2017 (6 mois) MISSION TUTEUREE CHEZ BENNES JPM,Experience
2014 Chauffeur de taxi,Education
- 2009 dipl6me de coiffure en Algérie,Education
Secretaire web master,Experience
e Développement d'un Dashboard(client) avec React.js,Experience
g Anglais : 2/5,Skills
Anglais Pe Autonomie es,Skills
pac cae,Education
pest eOs EEE) Evry (91),Education
e — Enjeux du risque chimique,Education
e Canva,Skills
yA},Education
e Chargé de communication,Experience
» Définition Des :,Experience
Etude diagnostic des patients hospitalisés,Experience
"ISCID -CO, DUNKERQUE",Education
Service et chef de rang,Experience
09/2018 autrement fleurs,Experience
Arabe : courant,Skills
Juillet 2019 - Aout 2019,Experience
¢ Compétences ad acquérir : découverte des,Experience
2023,Experience
Louvre-Lens et Citadelle d'Arras,Experience
Obtention du Entrepreneurial Skill Pass,Education
v BTS Office Manager - 2007,Education
Langues : Anglais : Intermédiaire,Skills
Conduire et déposer le client a son lieu de destination,Skills
1.Recrutement (Création des annonces internes /,Experience
"Mise en place offre co, réalisation planning, administratifs. Inventaire consommables",Experience
vy Arabe : Natale,Skills
"BARCELONA-HOME, Barcelone",Experience
-Organisation -Gestion des priorités -Communication -Animation,Skills
Lycée Victor Hugo | 2018-2020 | Caen,Education
Université Lyon 2,Education
Centre Commercial Issy 3 Moulins,Experience
e@eeee,Skills
>» Salesforce (2019),Skills
